YYYYMMDDHHMM,Unnamed: 0,TYPE,TYPE.1,BBSSS,TUDE,TUDE.1,(M),(HP=MB),(HP=MB).1,(HP=MB).2,(C),(C).1,(%),DIR,SPD(M/S),VIS(M),(KG/M2),(KG/M2).1,|,PRES,PMSL,TMDB,ALSE,TMDP,REHU,WDIR,WSPD,TP03,TP24,HOVI,wind_math_direction,wind_x,wind_y
2014-12-31 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.0,-9999.9,18.9,10.9,-9999.9,320.0,5.7,12000.0,-9999.9,-9999.9,|,-9999.9,101800.0,292.05,-9999.9,284.05,-9999.9,320.0,5.7,-9999.9,-9999.9,12000.0,310.0,-2.9944815395387647,4.8500598253384
2015-01-01 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.7,-9999.9,18.8,12.2,-9999.9,310.0,5.7,12000.0,-9999.9,-9999.9,|,-9999.9,101770.0,291.95,-9999.9,285.35,-9999.9,310.0,5.7,-9999.9,-9999.9,12000.0,320.0,5.1511191382325,-2.440485940081374
2015-01-01 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,17.3,14.4,-9999.9,290.0,4.6,8000.0,-9999.9,-9999.9,|,-9999.9,101850.0,290.45,-9999.9,287.55,-9999.9,290.0,4.6,-9999.9,-9999.9,8000.0,340.0,3.4944742260332338,2.991429404747741
2015-01-01 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1021.2,-9999.9,19.2,15.1,-9999.9,300.0,4.6,5000.0,-9999.9,-9999.9,|,-9999.9,102120.0,292.35,-9999.9,288.25,-9999.9,300.0,4.6,-9999.9,-9999.9,5000.0,330.0,-4.559514580073951,-0.6089554943450789
2015-01-01 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.5,-9999.9,21.6,16.2,-9999.9,300.0,5.7,9000.0,-9999.9,-9999.9,|,-9999.9,101950.0,294.75,-9999.9,289.35,-9999.9,300.0,5.7,-9999.9,-9999.9,9000.0,330.0,-5.6498332840046785,-0.7545752864710761
2015-01-01 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.1,-9999.9,23.0,15.9,-9999.9,290.0,6.2,10000.0,-9999.9,-9999.9,|,-9999.9,101810.0,296.15,-9999.9,289.05,-9999.9,290.0,6.2,-9999.9,-9999.9,10000.0,340.0,4.709943522044794,4.031926589007826
2015-01-01 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.1,-9999.9,20.8,17.1,-9999.9,350.0,2.1,10000.0,-9999.9,-9999.9,|,-9999.9,101910.0,293.95,-9999.9,290.25,-9999.9,350.0,2.1,-9999.9,-9999.9,10000.0,280.0,-1.9356531177465632,-0.8143997837413819
2015-01-01 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.6,-9999.9,20.2,16.9,-9999.9,330.0,3.6,10000.0,-9999.9,-9999.9,|,-9999.9,102060.0,293.35,-9999.9,290.05,-9999.9,330.0,3.6,-9999.9,-9999.9,10000.0,300.0,-0.07954782940326219,-3.599121023644138
2015-01-01 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.3,-9999.9,19.1,16.6,-9999.9,310.0,3.6,8000.0,-9999.9,-9999.9,|,-9999.9,102030.0,292.25,-9999.9,289.75,-9999.9,310.0,3.6,-9999.9,-9999.9,8000.0,320.0,3.2533384030942103,-1.5413595411040257
2015-01-02 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.4,-9999.9,18.7,16.2,-9999.9,320.0,2.6,7000.0,-9999.9,-9999.9,|,-9999.9,101940.0,291.85,-9999.9,289.35,-9999.9,320.0,2.6,-9999.9,-9999.9,7000.0,310.0,-1.3659038601404891,2.212307990505235
2015-01-02 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.6,-9999.9,18.0,16.2,-9999.9,280.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,101960.0,291.15,-9999.9,289.35,-9999.9,280.0,2.1,-9999.9,-9999.9,6000.0,350.0,-0.5956298862825496,-2.013758932585288
2015-01-02 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1021.3,-9999.9,20.0,15.1,-9999.9,270.0,2.6,12000.0,-9999.9,-9999.9,|,-9999.9,102130.0,293.15,-9999.9,288.25,-9999.9,270.0,2.6,-9999.9,-9999.9,12000.0,0.0,2.6,0.0
2015-01-02 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.8,-9999.9,21.1,9.8,-9999.9,300.0,4.6,14000.0,-9999.9,-9999.9,|,-9999.9,101980.0,294.25,-9999.9,282.95,-9999.9,300.0,4.6,-9999.9,-9999.9,14000.0,330.0,-4.559514580073951,-0.6089554943450789
2015-01-02 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.8,-9999.9,21.3,7.3,-9999.9,340.0,3.6,16000.0,-9999.9,-9999.9,|,-9999.9,101880.0,294.45,-9999.9,280.45,-9999.9,340.0,3.6,-9999.9,-9999.9,16000.0,290.0,2.024744136360278,2.9766442821194934
2015-01-02 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.9,-9999.9,19.9,11.5,-9999.9,20.0,2.1,12000.0,-9999.9,-9999.9,|,-9999.9,101990.0,293.05,-9999.9,284.65,-9999.9,20.0,2.1,-9999.9,-9999.9,12000.0,250.0,0.5060754410990431,-2.038108841037791
2015-01-02 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.5,-9999.9,19.1,12.7,-9999.9,0.0,1.0,12000.0,-9999.9,-9999.9,|,-9999.9,102050.0,292.25,-9999.9,285.85,-9999.9,0.0,1.0,-9999.9,-9999.9,12000.0,270.0,0.9843819506325049,-0.1760459464712114
2015-01-02 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.1,-9999.9,18.1,13.9,-9999.9,0.0,0.5,8000.0,-9999.9,-9999.9,|,-9999.9,101910.0,291.25,-9999.9,287.05,-9999.9,0.0,0.5,-9999.9,-9999.9,8000.0,270.0,0.49219097531625244,-0.0880229732356057
2015-01-03 00:00:00,3.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,17.8,15.8,-9999.9,0.0,1.0,3000.0,-9999.9,-9999.9,|,-9999.9,101850.0,290.95,-9999.9,288.95,-9999.9,0.0,1.0,-9999.9,-9999.9,3000.0,270.0,0.9843819506325049,-0.1760459464712114
2015-01-03 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.2,-9999.9,16.2,14.9,-9999.9,200.0,1.0,4000.0,-9999.9,-9999.9,|,-9999.9,101920.0,289.35,-9999.9,288.05,-9999.9,200.0,1.0,-9999.9,-9999.9,4000.0,70.0,0.6333192030862999,0.7738906815578891
2015-01-03 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.7,-9999.9,19.4,15.7,-9999.9,230.0,2.1,9000.0,-9999.9,-9999.9,|,-9999.9,102070.0,292.55,-9999.9,288.85,-9999.9,230.0,2.1,-9999.9,-9999.9,9000.0,40.0,-1.40056992946975,1.5647376370066326
2015-01-03 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.6,-9999.9,22.8,14.8,-9999.9,170.0,2.6,10000.0,-9999.9,-9999.9,|,-9999.9,101860.0,295.95,-9999.9,287.95,-9999.9,170.0,2.6,-9999.9,-9999.9,10000.0,100.0,2.2420290679479784,-1.3165506668853728
2015-01-03 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.7,-9999.9,23.5,14.6,-9999.9,160.0,3.1,7000.0,-9999.9,-9999.9,|,-9999.9,101670.0,296.65,-9999.9,287.75,-9999.9,160.0,3.1,-9999.9,-9999.9,7000.0,110.0,-3.096964521275409,-0.13715230206372
2015-01-03 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.3,-9999.9,20.7,15.1,-9999.9,120.0,2.6,7000.0,-9999.9,-9999.9,|,-9999.9,101730.0,293.85,-9999.9,288.25,-9999.9,120.0,2.6,-9999.9,-9999.9,7000.0,150.0,1.8180520968437754,-1.858678717035828
2015-01-03 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.3,-9999.9,20.0,16.9,-9999.9,110.0,4.1,8000.0,-9999.9,-9999.9,|,-9999.9,101730.0,293.15,-9999.9,290.05,-9999.9,110.0,4.1,-9999.9,-9999.9,8000.0,160.0,-4.000080182460473,0.8996435593539193
2015-01-03 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.3,-9999.9,19.5,16.0,-9999.9,130.0,4.1,7000.0,-9999.9,-9999.9,|,-9999.9,101630.0,292.65,-9999.9,289.15,-9999.9,130.0,4.1,-9999.9,-9999.9,7000.0,140.0,-0.8110356534174996,4.018982603705277
2015-01-04 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.6,-9999.9,18.8,15.5,-9999.9,150.0,1.5,8000.0,-9999.9,-9999.9,|,-9999.9,101560.0,291.95,-9999.9,288.65,-9999.9,150.0,1.5,-9999.9,-9999.9,8000.0,120.0,1.2212714557898428,0.8709167763184714
2015-01-04 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.7,-9999.9,18.3,16.3,-9999.9,0.0,1.0,7000.0,-9999.9,-9999.9,|,-9999.9,101570.0,291.45,-9999.9,289.45,-9999.9,0.0,1.0,-9999.9,-9999.9,7000.0,270.0,0.9843819506325049,-0.1760459464712114
2015-01-04 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.6,-9999.9,20.4,11.4,-9999.9,180.0,2.1,14000.0,-9999.9,-9999.9,|,-9999.9,101760.0,293.55,-9999.9,284.55,-9999.9,180.0,2.1,-9999.9,-9999.9,14000.0,90.0,-0.9409545938712573,1.8773929935611715
2015-01-04 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.1,-9999.9,22.6,10.1,-9999.9,170.0,3.6,14000.0,-9999.9,-9999.9,|,-9999.9,101510.0,295.75,-9999.9,283.25,-9999.9,170.0,3.6,-9999.9,-9999.9,14000.0,100.0,3.104347940235662,-1.8229163079951316
2015-01-04 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1014.0,-9999.9,23.0,10.9,-9999.9,140.0,4.1,12000.0,-9999.9,-9999.9,|,-9999.9,101400.0,296.15,-9999.9,284.05,-9999.9,140.0,4.1,-9999.9,-9999.9,12000.0,130.0,-1.5058944548642554,-3.813434395765723
2015-01-04 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1014.2,-9999.9,21.6,12.0,-9999.9,130.0,3.6,12000.0,-9999.9,-9999.9,|,-9999.9,101420.0,294.75,-9999.9,285.15,-9999.9,130.0,3.6,-9999.9,-9999.9,12000.0,140.0,-0.7121288664153655,3.5288627739851215
2015-01-04 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.2,-9999.9,22.1,10.7,-9999.9,180.0,1.5,10000.0,-9999.9,-9999.9,|,-9999.9,101520.0,295.25,-9999.9,283.85,-9999.9,180.0,1.5,-9999.9,-9999.9,10000.0,90.0,-0.6721104241937552,1.3409949954008367
2015-01-04 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1014.9,-9999.9,21.0,14.5,-9999.9,150.0,4.6,10000.0,-9999.9,-9999.9,|,-9999.9,101490.0,294.15,-9999.9,287.65,-9999.9,150.0,4.6,-9999.9,-9999.9,10000.0,120.0,3.745232464422184,2.6708114473766456
2015-01-05 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1014.5,-9999.9,19.8,14.0,-9999.9,160.0,3.1,10000.0,-9999.9,-9999.9,|,-9999.9,101450.0,292.95,-9999.9,287.15,-9999.9,160.0,3.1,-9999.9,-9999.9,10000.0,110.0,-3.096964521275409,-0.13715230206372
2015-01-05 06:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.3,-9999.9,18.1,9.0,-9999.9,230.0,2.6,12000.0,-9999.9,-9999.9,|,-9999.9,101830.0,291.25,-9999.9,282.15,-9999.9,230.0,2.6,-9999.9,-9999.9,12000.0,40.0,-1.734038960295881,1.937294217246307
2015-01-05 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.7,-9999.9,21.1,15.3,-9999.9,280.0,3.1,3500.0,-9999.9,-9999.9,|,-9999.9,101670.0,294.25,-9999.9,288.45,-9999.9,280.0,3.1,-9999.9,-9999.9,3500.0,350.0,-0.8792631654647161,-2.972691757625901
2015-01-05 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.7,-9999.9,22.4,16.1,-9999.9,300.0,4.1,5000.0,-9999.9,-9999.9,|,-9999.9,101570.0,295.55,-9999.9,289.25,-9999.9,300.0,4.1,-9999.9,-9999.9,5000.0,330.0,-4.063915169196347,-0.5427646797423529
2015-01-05 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.1,-9999.9,20.2,17.8,-9999.9,310.0,3.6,5000.0,-9999.9,-9999.9,|,-9999.9,101710.0,293.35,-9999.9,290.95,-9999.9,310.0,3.6,-9999.9,-9999.9,5000.0,320.0,3.2533384030942103,-1.5413595411040257
2015-01-05 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,19.7,17.3,-9999.9,280.0,3.6,7000.0,-9999.9,-9999.9,|,-9999.9,101850.0,292.85,-9999.9,290.45,-9999.9,280.0,3.6,-9999.9,-9999.9,7000.0,350.0,-1.0210798050557992,-3.4521581701462076
2015-01-05 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.4,-9999.9,18.7,16.2,-9999.9,280.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,101840.0,291.85,-9999.9,289.35,-9999.9,280.0,2.1,-9999.9,-9999.9,6000.0,350.0,-0.5956298862825496,-2.013758932585288
2015-01-06 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,17.9,15.6,-9999.9,290.0,2.6,6000.0,-9999.9,-9999.9,|,-9999.9,101850.0,291.05,-9999.9,288.75,-9999.9,290.0,2.6,-9999.9,-9999.9,6000.0,340.0,1.9751376060187846,1.6908079244226366
2015-01-06 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.8,-9999.9,17.5,15.3,-9999.9,270.0,1.5,5000.0,-9999.9,-9999.9,|,-9999.9,101980.0,290.65,-9999.9,288.45,-9999.9,270.0,1.5,-9999.9,-9999.9,5000.0,0.0,1.5,0.0
2015-01-06 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1021.5,-9999.9,19.3,14.8,-9999.9,280.0,2.1,7000.0,-9999.9,-9999.9,|,-9999.9,102150.0,292.45,-9999.9,287.95,-9999.9,280.0,2.1,-9999.9,-9999.9,7000.0,350.0,-0.5956298862825496,-2.013758932585288
2015-01-06 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.5,-9999.9,21.8,15.3,-9999.9,280.0,3.1,8000.0,-9999.9,-9999.9,|,-9999.9,101950.0,294.95,-9999.9,288.45,-9999.9,280.0,3.1,-9999.9,-9999.9,8000.0,350.0,-0.8792631654647161,-2.972691757625901
2015-01-06 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.6,-9999.9,23.2,14.6,-9999.9,320.0,2.1,8000.0,-9999.9,-9999.9,|,-9999.9,101860.0,296.35,-9999.9,287.75,-9999.9,320.0,2.1,-9999.9,-9999.9,8000.0,310.0,-1.103230040882703,1.7868641461773054
2015-01-06 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.5,-9999.9,19.9,16.8,-9999.9,80.0,2.6,8000.0,-9999.9,-9999.9,|,-9999.9,101950.0,293.05,-9999.9,289.95,-9999.9,80.0,2.6,-9999.9,-9999.9,8000.0,190.0,0.1723978317144493,2.5942781245695605
2015-01-06 21:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.8,-9999.9,19.0,16.3,-9999.9,130.0,2.1,5000.0,-9999.9,-9999.9,|,-9999.9,101880.0,292.15,-9999.9,289.45,-9999.9,130.0,2.1,-9999.9,-9999.9,5000.0,140.0,-0.4154085054089633,2.0585032848246545
2015-01-07 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.6,-9999.9,18.8,17.3,-9999.9,140.0,2.1,3000.0,-9999.9,-9999.9,|,-9999.9,101860.0,291.95,-9999.9,290.45,-9999.9,140.0,2.1,-9999.9,-9999.9,3000.0,130.0,-0.7713117939548626,-1.9532224953922
2015-01-07 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,17.4,15.2,-9999.9,120.0,1.5,3000.0,-9999.9,-9999.9,|,-9999.9,101850.0,290.55,-9999.9,288.35,-9999.9,120.0,1.5,-9999.9,-9999.9,3000.0,150.0,1.0488762097175628,-1.072314644443747
2015-01-07 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.5,-9999.9,21.2,16.5,-9999.9,180.0,2.1,5000.0,-9999.9,-9999.9,|,-9999.9,102050.0,294.35,-9999.9,289.65,-9999.9,180.0,2.1,-9999.9,-9999.9,5000.0,90.0,-0.9409545938712573,1.8773929935611715
2015-01-07 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.8,-9999.9,23.0,12.3,-9999.9,160.0,3.1,10000.0,-9999.9,-9999.9,|,-9999.9,101780.0,296.15,-9999.9,285.45,-9999.9,160.0,3.1,-9999.9,-9999.9,10000.0,110.0,-3.096964521275409,-0.13715230206372
2015-01-07 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.5,-9999.9,24.8,9.3,-9999.9,160.0,3.6,12000.0,-9999.9,-9999.9,|,-9999.9,101650.0,297.95,-9999.9,282.45,-9999.9,160.0,3.6,-9999.9,-9999.9,12000.0,110.0,-3.5964749279327326,-0.15927364110625547
2015-01-07 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.4,-9999.9,22.6,13.8,-9999.9,160.0,2.1,10000.0,-9999.9,-9999.9,|,-9999.9,101640.0,295.75,-9999.9,286.95,-9999.9,160.0,2.1,-9999.9,-9999.9,10000.0,110.0,-2.097943707960761,-0.09290962397864903
2015-01-07 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.3,-9999.9,20.7,16.2,-9999.9,120.0,3.6,10000.0,-9999.9,-9999.9,|,-9999.9,101630.0,293.85,-9999.9,289.35,-9999.9,120.0,3.6,-9999.9,-9999.9,10000.0,150.0,2.5173029033221503,-2.573555146664993
2015-01-07 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.2,-9999.9,20.7,13.3,-9999.9,160.0,3.1,12000.0,-9999.9,-9999.9,|,-9999.9,101520.0,293.85,-9999.9,286.45,-9999.9,160.0,3.1,-9999.9,-9999.9,12000.0,110.0,-3.096964521275409,-0.13715230206372
2015-01-08 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.3,-9999.9,20.1,15.2,-9999.9,200.0,2.1,12000.0,-9999.9,-9999.9,|,-9999.9,101530.0,293.25,-9999.9,288.35,-9999.9,200.0,2.1,-9999.9,-9999.9,12000.0,70.0,1.3299703264812297,1.6251704312715671
2015-01-08 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1015.5,-9999.9,20.0,14.7,-9999.9,180.0,4.1,12000.0,-9999.9,-9999.9,|,-9999.9,101550.0,293.15,-9999.9,287.85,-9999.9,180.0,4.1,-9999.9,-9999.9,12000.0,90.0,-1.8371018261295973,3.6653863207622868
2015-01-08 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.9,-9999.9,21.8,13.0,-9999.9,160.0,4.6,12000.0,-9999.9,-9999.9,|,-9999.9,101790.0,294.95,-9999.9,286.15,-9999.9,160.0,4.6,-9999.9,-9999.9,12000.0,110.0,-4.5954957412473805,-0.20351631919132643
2015-01-08 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.1,-9999.9,22.1,5.3,-9999.9,280.0,8.2,1100.0,-9999.9,-9999.9,|,-9999.9,101710.0,295.25,-9999.9,278.45,-9999.9,280.0,8.2,-9999.9,-9999.9,1100.0,350.0,-2.3257928892937647,-7.863249165333027
2015-01-08 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.1,-9999.9,20.1,9.8,-9999.9,310.0,13.4,3000.0,-9999.9,-9999.9,|,-9999.9,101810.0,293.25,-9999.9,282.95,-9999.9,310.0,13.4,-9999.9,-9999.9,3000.0,320.0,12.109648500406228,-5.737282736331651
2015-01-08 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.0,-9999.9,18.4,8.8,-9999.9,320.0,10.8,4000.0,-9999.9,-9999.9,|,-9999.9,102000.0,291.55,-9999.9,281.95,-9999.9,320.0,10.8,-9999.9,-9999.9,4000.0,310.0,-5.673754495968186,9.189587037483285
2015-01-08 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.9,-9999.9,17.5,5.9,-9999.9,320.0,10.8,3000.0,-9999.9,-9999.9,|,-9999.9,102090.0,290.65,-9999.9,279.05,-9999.9,320.0,10.8,-9999.9,-9999.9,3000.0,310.0,-5.673754495968186,9.189587037483285
2015-01-08 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.7,-9999.9,16.7,5.1,-9999.9,300.0,8.8,4000.0,-9999.9,-9999.9,|,-9999.9,102070.0,289.85,-9999.9,278.25,-9999.9,300.0,8.8,-9999.9,-9999.9,4000.0,330.0,-8.72254963144582,-1.164958337007977
2015-01-09 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.2,-9999.9,15.1,4.8,-9999.9,290.0,7.7,4000.0,-9999.9,-9999.9,|,-9999.9,102020.0,288.25,-9999.9,277.95,-9999.9,290.0,7.7,-9999.9,-9999.9,4000.0,340.0,5.849445987055631,5.007392699251654
2015-01-09 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.2,-9999.9,15.1,6.4,-9999.9,300.0,9.3,5000.0,-9999.9,-9999.9,|,-9999.9,102020.0,288.25,-9999.9,279.55,-9999.9,300.0,9.3,-9999.9,-9999.9,5000.0,330.0,-9.218149042323423,-1.2311491516107032
2015-01-09 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1021.3,-9999.9,16.2,7.8,-9999.9,300.0,9.8,5000.0,-9999.9,-9999.9,|,-9999.9,102130.0,289.35,-9999.9,280.95,-9999.9,300.0,9.8,-9999.9,-9999.9,5000.0,330.0,-9.713748453201028,-1.297339966213429
2015-01-09 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.0,-9999.9,17.0,7.7,-9999.9,300.0,8.8,3000.0,-9999.9,-9999.9,|,-9999.9,101900.0,290.15,-9999.9,280.85,-9999.9,300.0,8.8,-9999.9,-9999.9,3000.0,330.0,-8.72254963144582,-1.164958337007977
2015-01-09 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.1,-9999.9,17.0,8.3,-9999.9,310.0,7.2,2200.0,-9999.9,-9999.9,|,-9999.9,101810.0,290.15,-9999.9,281.45,-9999.9,310.0,7.2,-9999.9,-9999.9,2200.0,320.0,6.506676806188421,-3.0827190822080515
2015-01-09 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,16.4,8.7,-9999.9,320.0,5.7,4000.0,-9999.9,-9999.9,|,-9999.9,101850.0,289.55,-9999.9,281.85,-9999.9,320.0,5.7,-9999.9,-9999.9,4000.0,310.0,-2.9944815395387647,4.8500598253384
2015-01-09 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.6,-9999.9,16.5,8.8,-9999.9,320.0,2.6,12000.0,-9999.9,-9999.9,|,-9999.9,101860.0,289.65,-9999.9,281.95,-9999.9,320.0,2.6,-9999.9,-9999.9,12000.0,310.0,-1.3659038601404891,2.212307990505235
2015-01-09 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.6,-9999.9,16.4,10.3,-9999.9,280.0,2.6,10000.0,-9999.9,-9999.9,|,-9999.9,101760.0,289.55,-9999.9,283.45,-9999.9,280.0,2.6,-9999.9,-9999.9,10000.0,350.0,-0.7374465258736328,-2.493225345105594
2015-01-10 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.4,-9999.9,15.5,10.5,-9999.9,270.0,2.1,7000.0,-9999.9,-9999.9,|,-9999.9,101640.0,288.65,-9999.9,283.65,-9999.9,270.0,2.1,-9999.9,-9999.9,7000.0,0.0,2.1,0.0
2015-01-10 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.8,-9999.9,16.3,10.9,-9999.9,0.0,0.0,6000.0,-9999.9,-9999.9,|,-9999.9,101680.0,289.45,-9999.9,284.05,-9999.9,0.0,0.0,-9999.9,-9999.9,6000.0,270.0,0.0,-0.0
2015-01-10 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.0,-9999.9,17.2,11.5,-9999.9,120.0,2.1,14000.0,-9999.9,-9999.9,|,-9999.9,101800.0,290.35,-9999.9,284.65,-9999.9,120.0,2.1,-9999.9,-9999.9,14000.0,150.0,1.4684266936045878,-1.5012405022212458
2015-01-10 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1016.3,-9999.9,18.5,11.4,-9999.9,170.0,3.6,12000.0,-9999.9,-9999.9,|,-9999.9,101630.0,291.65,-9999.9,284.55,-9999.9,170.0,3.6,-9999.9,-9999.9,12000.0,100.0,3.104347940235662,-1.8229163079951316
